,program,start_time,start_dt_object,end_time,end_dt_object,play_time,artist,artist_url,track,album,album_url,label,label_url,type
0,Sunday Morning Show,Sun Nov 4 2018 5:00am,2018-11-04 05:00:00,Sun Nov 4 2018 7:00am,2018-11-04 07:00:00,5:00am,Ike Turner,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=2483#here,“Swanee River Boogie”,Here and Now,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=68700#here,(IKON Records 2001),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=15299#here,
0,Sunday Morning Show,Sun Nov 4 2018 5:00am,2018-11-04 05:00:00,Sun Nov 4 2018 7:00am,2018-11-04 07:00:00,5:03am,Freddy King,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=2487#here,“Hide Away”,Living The Blues Collection,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=432255#here,(Time Life),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=3931#here,
0,Sunday Morning Show,Sun Nov 4 2018 5:00am,2018-11-04 05:00:00,Sun Nov 4 2018 7:00am,2018-11-04 07:00:00,5:11am,Swan Silvertones,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=7213#here,"“He's Sweet, I know”",Gospel Gold,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=432257#here,(Q Records 2007),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=12030#here,
0,Lotsa A Cappella,Sun Jan 20 2019 7:00am,2019-01-20 07:00:00,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,7:02am,Sweet Honey In the Rock & James Horner,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=17628#here,“Woke Up This Morning With My Mind Stayed On Freedom”,Freedom Song (original motion picture soundtrack),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=32344#here,(Sony 2000),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=16#here,
0,Lotsa A Cappella,Sun Jan 20 2019 7:00am,2019-01-20 07:00:00,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,7:05am,"Dr. Martin Luther King, Jr.",https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=5985#here,"“Drum Major for Justice: ""If I can help somebody...""”",In Search Of Freedom: Excerpts From His Most Memorable Speeches,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=33485#here,(UMVD Special Markets 1996),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=9599#here,
0,Lotsa A Cappella,Sun Jan 20 2019 7:00am,2019-01-20 07:00:00,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,7:07am,Mavis Staples,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=2580#here,“MLK Song”,Livin' On a High Note,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=246995#here,(Anti 2016),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=46#here,
0,Lotsa A Cappella,Sun Jan 13 2019 7:00am,2019-01-13 07:00:00,Sun Jan 13 2019 8:00am,2019-01-13 08:00:00,7:02am,The Persuasions,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=261#here,“Good Old A Cappella”,We Still Ain't Got No Band,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=284#here,(MCA 1974),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=190#here,
0,Lotsa A Cappella,Sun Jan 13 2019 7:00am,2019-01-13 07:00:00,Sun Jan 13 2019 8:00am,2019-01-13 08:00:00,7:04am,Vox One,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=3262#here,“Leave It To Me (Or Leave It Alone)”,Pure Imagination,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=116564#here,(Primarily A Cappella www.swingers.com 2006),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=1291#here,
0,Lotsa A Cappella,Sun Jan 13 2019 7:00am,2019-01-13 07:00:00,Sun Jan 13 2019 8:00am,2019-01-13 08:00:00,7:09am,Voice Trek,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=51509#here,“Take Five”,An A Cappella Trek,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=124135#here,(Voice Trek 2005),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=35345#here,
0,Folks of the World,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,Sun Jan 20 2019 10:00am,2019-01-20 10:00:00,8:00am,Outback,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=33609#here,“Dance the Devil Away”,,,(March Hare Music 1991),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=10654#here,
0,Folks of the World,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,Sun Jan 20 2019 10:00am,2019-01-20 10:00:00,8:09am,The Brothers Kanilau,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=22478#here,“Maika'i Kaua'i Hemolele I Ka Malie”,Mele Oli: Chants From Ancient Hawaii,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=44146#here,(Sounds True some inspiration in story form for this freezing deep-winter edition of Earthworms . . . for your creative mind and heart 1998),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=6234#here,
0,Folks of the World,Sun Jan 20 2019 8:00am,2019-01-20 08:00:00,Sun Jan 20 2019 10:00am,2019-01-20 10:00:00,8:14am,"Jim ""Kimo"" West",https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=a&dbid=37535#here,“Peaceful Island”,Moku Maluhia: Peaceful Island,https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=d&dbid=390002#here,(Westernmost Records 2018),https://spinitron.com/radio/playlist.php?station=kdhx&sv=l&dbdetail=l&dbid=20055#here,N 
